country,name,full_name,isin,currency,symbol
indonesia,Harta Aman Pratama,Asuransi Harta Aman Pratama Tbk PT,ID1000095805,IDR,AHAP
indonesia,Apac Citra Centertex,Apac Citra Centertex Tbk,ID1000074701,IDR,MYTX
indonesia,Argha Karya Prima Ind,Argha Karya Prima Ind Tbk,ID1000084205,IDR,AKPI
indonesia,Austindo Nusantara Jaya,Austindo Nusantara Jaya Tbk,ID1000270002,IDR,ANJT
indonesia,Bank Bumi Arta,Bank Bumi Arta Tbk,ID1000103401,IDR,BNBA
indonesia,Bank Maspion Indonesia,Bank Maspion Indonesia Tbk,ID1000128200,IDR,BMAS
indonesia,Bank Ocbc Nisp,Bank Ocbc Nisp Tbk,ID1000094402,IDR,NISP
indonesia,Bank Of India Indonesia,Bank Of India Indonesia Tbk,ID1000089709,IDR,BSWD
indonesia,Bank Qnb Indonesia,Bank Qnb Indonesia Tbk,ID1000093503,IDR,BKSW
indonesia,Bayu Buana,Bayu Buana Tbk,ID1000074107,IDR,BAYU
indonesia,Buana Finance,Buana Finance Tbk,ID1000104607,IDR,BBLD
indonesia,Cakra Mineral,Cakra Mineral Tbk,ID1000072606,IDR,CKRA
indonesia,Delta Djakarta,Delta Djakarta Tbk,ID1000136005,IDR,DLTA
indonesia,Destinasi Tirta,Destinasi Tirta Nusantara Tbk,ID1000111107,IDR,PDES
indonesia,Elang Mahkota,Elang Mahkota Teknologi Tbk,ID1000113905,IDR,EMTK
indonesia,Enseval Putra,Enseval Putra Megatrading Tbk,ID1000096506,IDR,EPMT
indonesia,Equity Dev Inv,Equity Development Investment,ID1000074206,IDR,GSMF
indonesia,Eratex Djaja,Eratex Djaja Tbk,ID1000076607,IDR,ERTX
indonesia,Ever Shine Textile,Ever Shine Textile Industry,ID1000063506,IDR,ESTI
indonesia,Fast Food Indonesia,Fast Food Indonesia Tbk,ID1000063209,IDR,FAST
indonesia,Fks Multi Agro,Fks Multi Agro Tbk,ID1000080104,IDR,FISH
indonesia,Golden Energy Mines,Golden Energy Mines Tbk,ID1000121106,IDR,GEMS
indonesia,Indo Kordsa,Indo Kordsa Tbk,ID1000084700,IDR,BRAM
indonesia,Indo Straits,Indo Straits Tbk,ID1000120009,IDR,PTIS
indonesia,Indorama Synthetics,Indorama Synthetics Tbk,ID1000086101,IDR,INDR
indonesia,Jakarta Kyoei,Jakarta Kyoei Steel Works Tbk,ID1000084502,IDR,JKSW
indonesia,Kabelindo Murni,Kabelindo Murni Tbk,ID1000073802,IDR,KBLM
indonesia,Kedaung Indah Can,Kedaung Indah Can Tbk,ID1000083207,IDR,KICI
indonesia,Kokoh Inti Arebama,Kokoh Inti Arebama Tbk,ID1000110406,IDR,KOIN
indonesia,Limas Indonesia Makmur,Limas Indonesia Makmur Tbk,ID1000079403,IDR,LMAS
indonesia,Lionmesh Prima,Lionmesh Prima Tbk,ID1000135502,IDR,LMSH
indonesia,Lotte Chemical Titan PT,Lotte Chemical Titan Tbk PT,ID1000083801,IDR,FPNI
indonesia,Mandala Multifinance,Mandala Multifinance Tbk,ID1000102304,IDR,MFIN
indonesia,Maskapai Reasuransi,Maskapai Reasuransi Indonesia,ID1000056005,IDR,MREI
indonesia,Metro Realty,Metro Realty Tbk,ID1000121007,IDR,MTSM
indonesia,Metropolitan Kentjana,Metropolitan Kentjana Tbk,ID1000112808,IDR,MKPI
indonesia,Multifiling Mitra,Multifiling Mitra Indonesia,ID1000117906,IDR,MFMI
indonesia,Onix Capital,Onix Capital Tbk,ID1000096100,IDR,OCAP
indonesia,Pembangunan Graha,Pembangunan Graha Lestari Tbk,ID1000090509,IDR,PGLI
indonesia,Pelayaran Tempuran,Pelayaran Tempuran Emas Tbk,ID1000103203,IDR,TMAS
indonesia,Panasia Indo Resources,Panasia Indo Resources Tbk,ID1000086507,IDR,HDTX
indonesia,Pelayaran Nelly,Pelayaran Nelly Dwi Putri Tbk,ID1000125206,IDR,NELY
indonesia,Pikko Land Development,Pikko Land Development Tbk,ID1000075203,IDR,RODA
indonesia,Pioneerindo Gourmet,Pioneerindo Gourmet International,ID1000064108,IDR,PTSP
indonesia,Plaza Indonesia Realty,Plaza Indonesia Realty Tbk,ID1000105406,IDR,PLIN
indonesia,Pool Advista Indonesia,Pool Advista Indonesia Tbk,ID1000122005,IDR,POOL
indonesia,Prasidha Aneka Niaga,Prasidha Aneka Niaga Tbk,ID1000090400,IDR,PSDN
indonesia,Provident Agro,Provident Agro Tbk,ID1000125008,IDR,PALM
indonesia,Pudjiadi & Sons,Pudjiadi & Sons Tbk,ID1000124803,IDR,PNSE
indonesia,Reliance Securities,Reliance Securities Tbk,ID1000101603,IDR,RELI
indonesia,Ricky Putra Globalindo,Ricky Putra Globalindo Tbk,ID1000059801,IDR,RICY
indonesia,Rig Tenders,Rig Tenders Tbk,ID1000098809,IDR,RIGS
indonesia,Samudera Indonesia,Samudera Indonesia Tbk,ID1000075906,IDR,SMDR
indonesia,Sekar Bumi,Sekar Bumi Tbk,ID1000124407,IDR,SKBM
indonesia,Sepatu Bata,Sepatu Bata Tbk,ID1000129109,IDR,BATA
indonesia,Smr Utama,Smr Utama Tbk,ID1000120801,IDR,SMRU
indonesia,Sona Topas Tourism,Sona Topas Tourism Industry,ID1000052202,IDR,SONA
indonesia,Supreme Cable,Supreme Cable Manufacturing Corp,ID1000080906,IDR,SCCO
indonesia,Sunson Textile,Sunson Textile Manufacturer,ID1000081508,IDR,SSTM
indonesia,Surya Toto Indonesia,Surya Toto Indonesia Tbk,ID1000132509,IDR,TOTO
indonesia,Suryamas Dutamakmur,Suryamas Dutamakmur Tbk,ID1000067408,IDR,SMDM
indonesia,Tifico Fiber Indonesia,Tifico Fiber Indonesia Tbk,ID1000054802,IDR,TFCO
indonesia,Tigaraksa Satria,Tigaraksa Satria Tbk,ID1000102106,IDR,TGKA
indonesia,Trans Power Marine,Trans Power Marine Tbk,ID1000126600,IDR,TPMA
indonesia,Trias Sentosa,Trias Sentosa Tbk,ID1000059009,IDR,TRST
indonesia,Trikomsel Oke,Trikomsel Oke Tbk,ID1000112501,IDR,TRIO
indonesia,Abm Investama,Abm Investama Tbk,ID1000121502,IDR,ABMM
indonesia,Ace Hardware,Ace Hardware Indonesia Tbk,ID1000125503,IDR,ACES
indonesia,Acset Indonusa,Acset Indonusa Tbk,ID1000127509,IDR,ACST
indonesia,Adaro Energy,Adaro Energy Tbk,ID1000111305,IDR,ADRO
indonesia,Adhi Karya Persero,Adhi Karya Persero Tbk,ID1000097207,IDR,ADHI
indonesia,Adi Sarana Armada,Adi Sarana Armada Tbk,ID1000125800,IDR,ASSA
indonesia,Adira Dinamika,Adira Dinamika Multi Finance,ID1000097504,IDR,ADMF
indonesia,Sigmagold Inti Perkasa,Sigmagold Inti Perkasa Tbk,ID1000065303,IDR,TMPI
indonesia,Agung Podomoro,Agung Podomoro Land Tbk,ID1000117104,IDR,APLN
indonesia,Akasha Wira,Akasha Wira International Tbk,ID1000067606,IDR,ADES
indonesia,Akbar Indomakmur,Akbar Indomakmur Stimec Tbk,ID1000071202,IDR,AIMS
indonesia,Akr Corporindo,Akr Corporindo Tbk,ID1000106701,IDR,AKRA
indonesia,Alam Sutera Realty,Alam Sutera Realty Tbk,ID1000108400,IDR,ASRI
indonesia,Alkindo Naratama,Alkindo Naratama Tbk,ID1000120207,IDR,ALDO
indonesia,Alumindo,Alumindo Light Metal Industry,ID1000130909,IDR,ALMI
indonesia,Ancora Indonesia,Ancora Indonesia Resources Tbk,ID1000103302,IDR,OKAS
indonesia,Aneka Tambang Persero,Aneka Tambang Persero Tbk,ID1000106602,IDR,ANTM
indonesia,Apexindo Pratama Duta,Apexindo Pratama Duta Tbk,ID1000091309,IDR,APEX
indonesia,Arita Prima Indonesia,Arita Prima Indonesia Tbk,ID1000129406,IDR,APII
indonesia,Arthavest,Arthavest Tbk,ID1000093305,IDR,ARTA
indonesia,Arwana Citramulia,Arwana Citramulia Tbk,ID1000128309,IDR,ARNA
indonesia,Asuransi Dayin Mitra,Asuransi Dayin Mitra Tbk,ID1000090905,IDR,ASDM
indonesia,Multi Artha Guna,Asuransi Multi Artha Guna Tbk PT,ID1000102908,IDR,AMAG
indonesia,Asuransi Ramayana,Asuransi Ramayana Tbk,ID1000079700,IDR,ASRM
indonesia,Asahimas Flat Glass,Asahimas Flat Glass Tbk,ID1000084601,IDR,AMFG
indonesia,Asia Pacific Fibers,Asia Pacific Fibers Tbk,ID1000110208,IDR,POLY
indonesia,Asiaplast Industries,Asiaplast Industries Tbk,ID1000059405,IDR,APLI
indonesia,Astra Agro Lestari,Astra Agro Lestari Tbk,ID1000066004,IDR,AALI
indonesia,Astra Graphia,Astra Graphia Tbk,ID1000066103,IDR,ASGR
indonesia,Astra International,Astra International Tbk,ID1000122807,IDR,ASII
indonesia,Astra Otoparts,Astra Otoparts Tbk,ID1000119704,IDR,AUTO
indonesia,Asuransi Kresna Mitra,Asuransi Kresna Mitra Tbk PT,ID1000130602,IDR,ASMI
indonesia,Atlas Resources,Atlas Resources Tbk,ID1000121205,IDR,ARII
indonesia,Bara Jaya Internasional,Bara Jaya Internasional Tbk PT,ID1000087307,IDR,ATPK
indonesia,Bakrie & Brothers,Bakrie & Brothers Tbk,ID1000110000,IDR,BNBR
indonesia,Bakrie Sumatera,Bakrie Sumatera Plantations,ID1000099708,IDR,UNSP
indonesia,Bakrie Telecom,Bakrie Telecom Tbk,ID1000103005,IDR,BTEL
indonesia,Bakrieland,Bakrieland Development Tbk,ID1000088701,IDR,ELTY
indonesia,Bank Artha Graha,Bank Artha Graha Internasional,ID1000105505,IDR,INPC
indonesia,Bank Negar,Bank Negara Indonesia Tbk,ID1000096605,IDR,BBNI
indonesia,Bank Bukopin,Bank Bukopin Tbk,ID1000103609,IDR,BBKP
indonesia,Bank Capital Indonesia,Bank Capital Indonesia Tbk,ID1000107402,IDR,BACA
indonesia,Bank Danamon,Bank Danamon Indonesia Tbk,ID1000094204,IDR,BDMN
indonesia,Bank Woori Indonesia,Bank Woori Saudara Indonesia 1906,ID1000105307,IDR,SDRA
indonesia,Bank Mnc Internasional,Bank Mnc Internasional Tbk,ID1000091507,IDR,BABP
indonesia,Bank Ina Perdana,Bank Ina Perdana Tbk,ID1000130404,IDR,BINA
indonesia,Bank Maybank Indonesia,Bank Maybank Indonesia Tbk PT,ID1000099302,IDR,BNII
indonesia,Bank Mandiri Persero,Bank Mandiri Persero Tbk,ID1000095003,IDR,BMRI
indonesia,Bank Mayapada,Bank Mayapada Internasional,ID1000055205,IDR,MAYA
indonesia,Bank Mega,Bank Mega Tbk,ID1000052400,IDR,MEGA
indonesia,Bank Mestika Dharma,Bank Mestika Dharma Tbk,ID1000128507,IDR,BBMD
indonesia,Bank Nationalnobu,Bank Nationalnobu Tbk,ID1000127103,IDR,NOBU
indonesia,Bank Pembangunan,Bank Pembangunan Barat Dan Banten,ID1000115702,IDR,BJBR
indonesia,Bank Pan Indonesia,Bank Pan Indonesia Tbk,ID1000092703,IDR,PNBN
indonesia,Bank Panin Syariah,Bank Panin Syariah Tbk,ID1000130701,IDR,PNBS
indonesia,Bank Pembangunan Timur,Bank Pembangunan Timur Tbk,ID1000123904,IDR,BJTM
indonesia,Bank Permata,Bank Permata Tbk,ID1000098205,IDR,BNLI
indonesia,Bank Pembangunan,Bank Pembangunan Daerah Banten Tbk PT,ID1000070600,IDR,BEKS
indonesia,Bank Rakyat Persero,Bank Rakyat Indonesia Persero,ID1000118201,IDR,BBRI
indonesia,Bank Sinarmas,Bank Sinarmas Tbk,ID1000117807,IDR,BSIM
indonesia,Bank Tabungan Negara,Bank Tabungan Negara Persero,ID1000113707,IDR,BBTN
indonesia,Bank Tabungan,Bank Tabungan Pensiunan Nasional,ID1000118508,IDR,BTPN
indonesia,Bank Victoria,Bank Victoria International,ID1000056302,IDR,BVIC
indonesia,Bank Windu,Bank Windu Kentjana Int,ID1000106305,IDR,MCOR
indonesia,Baramulti Suksessarana,Baramulti Suksessarana Tbk,ID1000125701,IDR,BSSR
indonesia,Barito Pacific,Barito Pacific Tbk,ID1000085707,IDR,BRPT
indonesia,Bayan Resources,Bayan Resources Tbk,ID1000111701,IDR,BYAN
indonesia,Bekasi Asri Pemula,Bekasi Asri Pemula Tbk,ID1000109002,IDR,BAPA
indonesia,Bekasi Fajar,Bekasi Fajar Industrial Estate,ID1000122609,IDR,BEST
indonesia,Benakat Integra,Benakat Integra Tbk,ID1000114101,IDR,BIPI
indonesia,Berlina,Berlina Tbk,ID1000125602,IDR,BRNA
indonesia,Betonjaya Manunggal,Betonjaya Manunggal Tbk,ID1000071509,IDR,BTON
indonesia,BFI Finance,BFI Finance Indonesia Tbk,ID1000124001,IDR,BFIN
indonesia,Bhuwanatala Indah,Bhuwanatala Indah Permai Tbk,ID1000076508,IDR,BIPP
indonesia,Bisi International,Bisi International Tbk,ID1000105703,IDR,BISI
indonesia,Bank Central Asia,Bank Central Asia Tbk,ID1000109507,IDR,BBCA
indonesia,Borneo Lumbung,Borneo Lumbung Energi & Metal,ID1000117401,IDR,BORN
indonesia,Bank Rakyat,Bank Rakyat Indonesia Agroniaga,ID1000095508,IDR,AGRO
indonesia,Buana Listya Tama,Buana Listya Tama Tbk PT,ID1000133705,IDR,BULL
indonesia,Budi Starch & Sweetener,Budi Starch & Sweetener Tbk,ID1000084908,IDR,BUDI
indonesia,Bukit Darmo,Bukit Darmo Property Tbk,ID1000106008,IDR,BKDP
indonesia,Bukit Uluwatu Villa,Bukit Uluwatu Villa Tbk,ID1000116007,IDR,BUVA
indonesia,Bumi Citra Permai,Bumi Citra Permai Tbk,ID1000113509,IDR,BCIP
indonesia,Bumi Resources Min,Bumi Resources Minerals Tbk,ID1000117609,IDR,BRMS
indonesia,Bumi Resources,Bumi Resources Tbk,ID1000068703,IDR,BUMI
indonesia,Bumi Serpong Damai,Bumi Serpong Damai Tbk,ID1000110802,IDR,BSDE
indonesia,Bumi Teknokultura,Bumi Teknokultura Unggul Tbk,ID1000098106,IDR,BTEK
indonesia,Eagle High,Eagle High Plantations Tbk,ID1000113202,IDR,BWPT
indonesia,Capitalinc Inv,Capitalinc Investment Tbk,ID1000120405,IDR,MTFN
indonesia,Capitol Nusantara,Capitol Nusantara Indonesia,ID1000130503,IDR,CANI
indonesia,Cardig Aero,Cardig Aero Services Tbk,ID1000121403,IDR,CASS
indonesia,Catur Sentosa,Catur Sentosa Adiprana Tbk,ID1000108301,IDR,CSAP
indonesia,Central Proteina,Central Proteina Prima Tbk,ID1000105000,IDR,CPRO
indonesia,Centratama Telekom,Centratama Telekomunikasi Ind,ID1000076805,IDR,CENT
indonesia,Rimau Multi,Rimau Multi Putra Pratama,ID1000132608,IDR,CMPP
indonesia,Champion Pacific,Champion Pacific Indonesia Tbk,ID1000059306,IDR,IGAR
indonesia,Chandra Asri Petro,Chandra Asri Petrochemical Tbk,ID1000090301,IDR,TPIA
indonesia,Charoen Pokphand Indonesia,Charoen Pokphand Indonesia TBK PT,ID1000117708,IDR,CPIN
indonesia,Ciputra Dev,Ciputra Development Tbk,ID1000115306,IDR,CTRA
indonesia,Citatah,Citatah Tbk,ID1000070105,IDR,CTTH
indonesia,Citra Marga,Citra Marga Nusaphala Persada,ID1000070402,IDR,CMNP
indonesia,Clipan Finance,Clipan Finance Indonesia Tbk,ID1000095201,IDR,CFIN
indonesia,Colorpak Indonesia,Colorpak Indonesia Tbk,ID1000079106,IDR,CLPI
indonesia,Cowell Development,Cowell Development Tbk,ID1000108707,IDR,COWL
indonesia,Darma Henwa,Darma Henwa Tbk,ID1000107303,IDR,DEWA
indonesia,Darya-Varia,Darya-Varia Laboratoria Tbk,ID1000117203,IDR,DVLA
indonesia,Delta Dunia Makmur,Delta Dunia Makmur Tbk,ID1000110505,IDR,DOID
indonesia,Dharma Samudera,Dharma Samudera Fishing Tbk,ID1000065808,IDR,DSFI
indonesia,Dharma Satya,Dharma Satya Nusantara Tbk,ID1000135809,IDR,DSNG
indonesia,Duta Pertiwi Nusantara,Duta Pertiwi Nusantara Tbk,ID1000103500,IDR,DPNS
indonesia,Duta Anggada,Duta Anggada Realty Tbk,ID1000089303,IDR,DART
indonesia,Duta Pertiwi,Duta Pertiwi Tbk,ID1000076300,IDR,DUTI
indonesia,Dyandra Media,Dyandra Media International,ID1000126808,IDR,DYAN
indonesia,Ekadharma,Ekadharma International Tbk,ID1000104805,IDR,EKAD
indonesia,Electronic City Ind,Electronic City Indonesia Tbk,ID1000127905,IDR,ECII
indonesia,Elnusa,Elnusa Tbk,ID1000109606,IDR,ELSA
indonesia,Energi Mega Persada,Energi Mega Persada Tbk,ID1000098304,IDR,ENRG
indonesia,Erajaya Swasembada,Erajaya Swasembada Tbk,ID1000121601,IDR,ERAA
indonesia,Eterindo Wahanatama,Eterindo Wahanatama Tbk,ID1000064405,IDR,ETWA
indonesia,Eureka Prima Jakarta,Eureka Prima Jakarta Tbk,ID1000106503,IDR,LCGP
indonesia,Exploitasi Energi,Exploitasi Energi Indonesia,ID1000096209,IDR,CNKO
indonesia,Express Transindo,Express Transindo Utama Tbk,ID1000125404,IDR,TAXI
indonesia,Fajar Surya Wisesa,Fajar Surya Wisesa Tbk,ID1000068208,IDR,FASW
indonesia,First Media,First Media Tbk,ID1000051709,IDR,KBLV
indonesia,Fortune Indonesia,Fortune Indonesia Tbk,ID1000080203,IDR,FORU
indonesia,Fortune Mate,Fortune Mate Indonesia Tbk,ID1000091200,IDR,FMII
indonesia,Gading Development,Gading Development Tbk,ID1000123201,IDR,GAMA
indonesia,Gajah Tunggal,Gajah Tunggal Tbk,ID1000086002,IDR,GJTL
indonesia,Garda Tujuh Buana,Garda Tujuh Buana Tbk,ID1000113004,IDR,GTBO
indonesia,Garuda Indonesia,Garuda Indonesia Persero Tbk,ID1000118300,IDR,GIAA
indonesia,Gema Grahasarana,Gema Grahasarana Tbk,ID1000092505,IDR,GEMA
indonesia,Global Mediacom,Global Mediacom Tbk,ID1000105604,IDR,BMTR
indonesia,Global Teleshop,Global Teleshop Tbk,ID1000123706,IDR,GLOB
indonesia,Golden Eagle Energy,Golden Eagle Energy Tbk,ID1000100704,IDR,SMMT
indonesia,Visi Telekomunikasi,Visi Telekomunikasi Infrastruktur Tbk PT,ID1000116205,IDR,GOLD
indonesia,Gowa Makassar,Gowa Makassar Tourism Develop,ID1000064009,IDR,GMTD
indonesia,Gozco Plantations,Gozco Plantations Tbk,ID1000110604,IDR,GZCO
indonesia,Graha Layar Prima,Graha Layar Prima Tbk,ID1000131402,IDR,BLTZ
indonesia,Grand Kartech,Grand Kartech Tbk,ID1000129505,IDR,KRAH
indonesia,Greenwood Sejahtera,Greenwood Sejahtera Tbk,ID1000121809,IDR,GWSA
indonesia,Gudang Garam,Gudang Garam Tbk,ID1000068604,IDR,GGRM
indonesia,Gunawan Dianjaya Steel,Gunawan Dianjaya Steel Tbk,ID1000113806,IDR,GDST
indonesia,Harum Energy,Harum Energy Tbk,ID1000116601,IDR,HRUM
indonesia,Hero Supermarket,Hero Supermarket Tbk,ID1000122708,IDR,HERO
indonesia,Hexindo Adiperkasa,Hexindo Adiperkasa Tbk,ID1000102205,IDR,HEXA
indonesia,Holcim Indonesia,Holcim Indonesia Tbk,ID1000072309,IDR,SMCB
indonesia,Hotel Mandarine Regency,Hotel Mandarine Regency Tbk PT,ID1000111404,IDR,HOME
indonesia,Hotel Sahid Jaya,Hotel Sahid Jaya Tbk,ID1000068505,IDR,SHID
indonesia,Ictsi Jasa Prima,Ictsi Jasa Prima Tbk,ID1000079205,IDR,KARW
indonesia,Indonesia Trans & Infr,Indonesia Transport & Infrastructure,ID1000104409,IDR,IATA
indonesia,Indah Kiat Pulp & Paper,Indah Kiat Pulp & Paper Tbk,ID1000062201,IDR,INKP
indonesia,Indal Aluminium,Indal Aluminium Industry Tbk,ID1000130800,IDR,INAI
